vv_x,vv_y,vv_z
7.37289205,2.08223573,0.439999794
7.19420051528613,2.655330473296686,-0.31730162282645585
6.901365627490479,3.186217228337597,-1.069474786739154
6.499124068800858,3.6664617814733114,-1.8045363205002258
5.99397585170883,4.08844563425005,-2.510778044934269
5.394081866601948,4.44549431502059,-3.176961375963711
4.709131411467955,4.731990393691936,-3.7925053477999926
3.950181643780795,4.94346864672293,-4.3476644336851304
3.129471652240207,5.07669114703675,-4.8336924263780485
2.2602145608141826,5.129700473399359,-5.242988858976119
1.3563717138345346,5.10184973301407,-5.569224791247094
0.43241351664079164,4.99380865148236,-5.807445248495413
-0.49692810600674675,4.807545583472783,-5.954146163193436
-1.4169104426817198,4.546285909810154,-6.007324311804532
-2.313028669294297,4.214447886344172,-5.966499433813527
-3.1712573299325095,3.8175575692107304,-5.832708435573066
-3.978279770141152,3.362144938755586,-5.608472288855417
-4.7217010995364435,2.855623758016329,-5.297736900853718
-5.3902408170499605,2.306158019229735,-4.905789833985111
-5.973901886035114,1.7225180419860602,-4.4391552656450814
-6.464113763102847,1.113929389570251,-3.905469986399259
-6.8538476309259995,0.4899177670546235,-3.313343528472207
-7.137702827427681,-0.13984703456181513,-2.672205692796282
-7.311964171980405,-0.7657052661768591,-1.992144806349998
-7.374630538089511,-1.3781567882347865,-1.2837400004822932
-7.325415592382289,-1.968003744722058,-0.557890670221034
-7.16572209783835,-2.5264843403620154,0.17435393075727668
-6.898591559557033,-3.0453960606271018,0.9019622639173028
-6.5286312721255735,-3.517207015072616,1.6140828493033055
-6.061921015345383,-3.935154408492185,2.300199292789425
-5.505901746265421,-4.293329442406466,2.9502762278791446
-4.869248665482919,-4.586748212400759,3.554894705767077
-4.161731006164924,-4.811408391771853,4.105375848458875
-3.3940608218054917,-4.9643316766475225,4.593891829723393
-2.5777329484209943,-5.043592113767702,5.013563463407185
-1.7248582023936319,-5.048330542714586,5.358543856618856
-0.8479917604615925,-4.978755465018493,5.624087727483555
0.040041438241098404,-4.836130709076601,5.8066060972398486
0.9263225153219357,-4.622750300249818,5.903706149522673
1.7980140138357712,-4.341900976533888,5.914216112756643
