x,y,z
42159.783599999995,0.0,0.0
39159.545488951975,15563.916192176992,266.9133962721479
30572.240101386156,28909.06557648057,496.92845709832625
17596.05898470607,38144.7248010492,671.3558983989936
2068.4432085663675,41949.722912649115,775.6469109924607
-13789.173160784349,39792.930719441356,801.7858841753261
-27722.57955222013,32035.512485167714,750.1078918286169
-37816.05198039866,19856.053941943646,629.2936724009827
-42772.77824042028,5013.729877335028,454.270920355341
-42038.62134069324,-10458.51933793848,242.98183757854454
-35789.371174810934,-24531.871822892506,13.44845170057723
-24851.02158119458,-35389.877222093,-217.87277195166197
-10607.446570445345,-41589.37897715454,-436.184220264228
5103.3083989690695,-42218.445520972,-627.2061385410991
20152.750713697453,-37064.826507022495,-775.6421254337669
32396.73609129813,-26740.322773530293,-864.6255510452183
40038.734559272256,-12660.21896073696,-877.4660229817327
41961.53069132136,3172.4121059836725,-801.6912976765653
37904.05505709304,18508.743766137515,-633.6881114396824
28462.444188324982,31201.01032774434,-381.97427507789445
14974.485341020685,39488.339750884305,-68.15781244015976
-665.1819650161087,42222.185613145346,274.5906222006116
-16256.748444464707,39034.01163085843,605.5697001995214
-29615.1955296312,30408.365100157444,882.7142734927692
-38912.081935077505,17609.50892073237,1069.5258065189478
-42947.337246564144,2456.9042787690923,1140.6260708006523
-41277.18507747018,-12980.897743290485,1084.369605650207
-34198.43427268882,-26676.36060817897,902.649690132413
-22650.857612931606,-36861.32543341266,609.4159014282536
-8100.830028352217,-42183.47684094697,229.5272901991172
7577.537877268216,-41845.696860326185,-201.4260384388025
22263.40984736321,-35754.60167457005,-637.229112646965
33851.37372913766,-24638.373386333777,-1023.3720678650683
40613.70605279161,-10028.824451901048,-1303.7785684600863
41546.71756907066,5968.900713447202,-1431.275948605458
36547.76325532087,21058.91854397017,-1377.7447453180407
26379.3802756278,33135.307143229475,-1140.0419254145952
12499.448115577885,40561.28836168957,-741.026946898237
-3157.9163190135064,42350.02568325048,-226.9999549653098
-18429.391368568125,38279.65119067564,337.7060957358882
-31208.69996423933,28936.64921908536,879.145217487446
-39754.47040752989,15646.046555112316,1324.7302599156005
-42951.16644906862,266.133723061247,1614.4819368731844
-40445.74214807119,-15109.425780966296,1709.337146669685
-32637.78167873518,-28452.444640700487,1594.687033432223
-20570.041279620233,-38033.80052589655,1279.9573973198012
-5787.536779630923,-42582.13014319249,796.6019546525943
9802.468585171337,-41407.502745348494,196.3142729618649
24095.275253593794,-34526.273579519155,-450.8426959359985
35037.43730595223,-22764.945371086847,-1061.064772752904
40977.22731972531,-7744.383716790952,-1547.3503267314222
41016.32141473674,8353.316680517091,-1835.433467447254
35190.424324412306,23195.988781456097,-1878.9918089388605
24406.532288956485,34715.148705842534,-1667.5841262102915
10225.233941145667,41384.73315101138,-1226.4503586558294
-5391.409435756987,42363.042053659294,-611.553315027825
-20323.60944636768,37557.66316473281,97.6057794960643
-32547.100207170435,27638.444184704324,807.4130174469364
-40404.423562259275,13970.620049640116,1422.4634188292057
-42851.64163080815,-1567.0088540081103,1859.611886827359
-39606.11390818071,-16864.2356643248,2060.3200616524596
-31151.20752160046,-29887.86981155705,1997.8539314386962
-18622.93317663352,-38935.302640159854,1678.5740205438922
-3645.4887152694246,-42803.71966382997,1139.432592237615
11835.938771184034,-40903.221318275515,444.33692359858617
25732.444625107735,-33355.598608278466,-319.95202047835187
36050.05421262228,-21075.071117670577,-1050.6892851536513
41220.14627324853,-5748.797928113998,-1642.3460624803329
40444.062602872014,10389.966373810663,-2006.0841394897118
33877.222344271264,24984.954869257283,-2088.3515837932837
22551.31055235167,35998.53382659407,-1879.7110217049703
8117.998493964598,41998.13081791526,-1412.349634211267
-7435.429374612466,42269.43984070848,-751.6161196171108
-22030.975971827047,36836.24610502196,13.635338835619933
-33724.575932610605,26441.750135293907,781.173241738788
-40940.49157379703,12480.537934155444,1447.384183730551
-42699.19027266014,-3160.0581553519287,1921.3857839245172
-38774.492822976405,-18360.47898159113,2138.729739899236
-29718.822376610988,-31079.59045523982,2070.7081237734824
-16754.572728843545,-39630.575493005446,1726.9849162848432
-1589.0976095522296,-42868.91598216921,1152.6479459890766
13784.723492376153,-40301.687252858654,422.53825631119327
27287.564692877226,-32159.54523438245,-365.56246492359674
36988.648192369474,-19444.929477644295,-1100.2946094216722
41411.47664280241,-3898.179704469459,-1671.7624593326302
39857.7974458614,12219.965357759407,-1992.351525679391
32590.1030972771,26545.3051126336,-2016.087950689921
20749.72909425141,37068.11693770953,-1746.4993198285426
6074.015088832168,42433.87304800539,-1230.7778589950876
-9419.190109269945,42040.968748661435,-547.0575627540568
-23684.526294360905,36023.012034390515,208.32061820798992
-34852.90538208744,25197.350756200816,931.9157726464178
-41431.46133285903,10989.074542010478,1524.3826403664907
-42507.79382251541,-4709.642956572196,1903.0347109221284
-37910.327361460906,-19776.04088235127,2014.365792987621
-28254.874667625674,-32163.095968730697,1842.8975778417332
-14847.83699678842,-40196.21314629741,1413.3465672031416
514.656910143929,-42785.933930304585,786.2447800304618
15781.483480089972,-39540.33858720084,49.68438104657296
28875.873604551765,-30810.929500772618,-690.5860707839154
37934.09209872372,-17699.96479680444,-1323.1191637950037
41584.83679199577,-1999.064390990316,-1746.9758159113567
39239.78744524775,14022.904828203258,-1891.9489906208723
31264.529229400094,28015.683047991428,-1735.9508211323637
18899.92120928449,38004.18508520495,-1309.6384994585105
3966.869947518192,42704.26055661703,-685.9657511431508
-11476.909350496702,41618.575829708774,37.46342636863301
-25405.74825474097,34991.34895802864,754.6542755280163
-36018.98457805213,23724.041286518586,1363.6874459798325
-41911.48347951349,9283.621323492736,1777.3505467192076
-42250.68350743258,-6428.911478691104,1933.8224026795783
-36931.268544648745,-21292.989337652325,1806.6515615118653
-26637.991917421106,-33264.62950112324,1410.7958749317622
-12763.95053933021,-40688.559656663994,801.6227390254066
2800.8832615129695,-42537.39716784307,66.76886798402592
17940.168429268728,-38532.50973433656,-686.2228582304263
30576.978557512615,-29165.147862898946,-1343.488030035895
38922.47749582723,-15656.4638509092,-1799.1286616509615
41728.83614826223,143.87022856282147,-1971.5847981951247
38535.685761951645,15973.13155371135,-1821.572351047661
29816.3972436998,29521.90392796864,-1365.3942354497476
16904.457096348022,38869.22011848303,-674.5102892619973
1700.5281000791997,42805.72814045585,140.7295774426647
-13690.928666351525,40937.8646646289,954.498708222029
-27252.41347866501,33626.55055495564,1645.8639078905687
-37246.36482179544,21872.042431642312,2112.9595659628158
-42363.078214171044,7199.569915858962,2283.368435213663
-41868.92952207492,-8472.990752340464,2123.2453195144008
-35746.11847857221,-23032.906470436385,1644.6735594328231
-24762.534634630803,-34454.82200103731,907.8344517760543
-10403.72243505661,-41120.536307324146,14.569928869453562
5344.697530608247,-42081.65171242674,-906.5177302859175
20301.134547050806,-37191.37931311499,-1719.2074243606671
32393.188375414516,-27102.34485075621,-2298.245304855293
39920.38464594514,-13175.15955044933,-2545.6217901151895
41780.672489611534,2672.3907831218603,-2405.6174332316446
37664.83427507955,18193.85017949768,-1878.6646731544072
28164.717871269957,31149.37072542152,-1029.181461913191
14700.467380846541,39702.24245947636,20.619278397582292
-757.7391070299027,42734.789347469516,1113.203037386024
-16060.734104261344,39964.12274343738,2085.659229852336
-29194.480447219677,31875.966756603597,2795.1860391212967
-38482.888376445146,19583.139579364546,3135.577989389247
-42720.853952859194,4683.922494300562,3047.5386707002267
-41293.854234933715,-10880.138974647662,2526.480336393058
-34294.8938129295,-25011.8649961839,1627.7673534419337
-22590.82951146874,-35724.9297561258,465.3681583062415
-7763.420341125346,-41462.67096583454,-800.702130079411
8110.792661742033,-41377.502803723044,-1988.2989372969241
22793.42232534784,-35473.446568567815,-2922.2082580893994
34228.27650821098,-24582.42846920726,-3460.047410350236
40820.02180626212,-10220.087176795052,-3510.7704576727624
