x,y,z,vv_x,vv_y,vv_z
37845.25158084463,170623.62612453097,98558.17988690216,-0.18296386217665048,0.8725658106240477,0.5035483925633788
36871.79559526943,175039.65073504034,101106.56816585317,-0.19207124932635322,0.8297698719270047,0.4788314388886324
35853.32827764599,179238.47878057978,103529.51551833685,-0.2003303729783639,0.7888183340346481,0.4551803860891857
34793.98633305657,183229.1486664359,105832.24528822987,-0.20784009772752235,0.7495113324437859,0.43247970955078124
33697.436721048485,187019.73517001668,108019.42383510308,-0.21468331200984472,0.7116763978473528,0.4106297217588099
32566.95199013989,190617.479990675,110095.23600331551,-0.22092999932178695,0.6751636106643149,0.38954377064553275
31405.470357226288,194028.89788565537,112063.44647524769,-0.22663964337644205,0.6398417543136787,0.36914601544775905
30215.64300995421,197259.8625179487,113927.44939398623,-0.23186310789315254,0.6055952676311973,0.34936966464709035
28999.874167810787,200315.67993161705,115690.31083291865,-0.23664410489386706,0.5723217824114566,0.33015555227445537
27760.359424779235,203201.1575518612,117354.80867911928,-0.24102036537417654,0.5399300322868879,0.31145092899281296
26499.11521486771,205920.65892455282,118923.46427128812,-0.24502460035939247,0.508338165334512,0.2932084865525181
25217.995321519647,208478.1388942379,120398.56272613154,-0.2486852564923002,0.47747251728635154,0.2753856484567982
23918.716615940662,210877.18960063634,121782.17952318491,-0.2520271552802337,0.4472663560015687,0.2579438441690265
22602.875390185243,213121.0727696624,123076.19916370764,-0.25507199900947086,0.4176589461594816,0.24084796838251998
21271.96289576694,215212.74957982934,124282.33242838606,-0.2578387925269758,0.38859473167191727,0.2240659083623282
19927.378298404914,217154.9055071656,125402.13073215484,-0.2603441991030523,0.36002264442279885,0.20756814430685144
18570.43961689042,218949.9712044295,126436.99818641401,-0.26260283822923625,0.3318955184053187,0.19132741063549125
17202.393214056123,220600.14047041154,127388.20197891991,-0.2646275332057551,0.30416958832702923,0.17531840610852648
15824.42240783181,222107.3863651113,128256.88168162701,-0.2664295163728819,0.2768040517532029,0.1595175406854188
14437.655770370087,223473.47652657612,129044.05809675831,-0.26801859984050996,0.249760673858812,0.14390270702775038
13043.175683224965,224699.98874519044,129750.64225138209,-0.2694033195702777,0.22300341385946137,0.12845306455298752
11642.025292824972,225788.3228448459,130377.44225790507,-0.27059106412671113,0.19649810653557936,0.1131488553160921
10235.208697843507,226739.69939990164,130925.16256338236,-0.2715881864317658,0.17021231300825823,0.09797131766021006
