vv_x,vv_y,vv_z
0.0,3.0745054327324146,0.053665691950502
-1.142983987903871,2.85284755998954,0.04852758565795101
-2.1277563060630986,2.228986116722799,0.039518039767516194
-2.813644523462383,1.287414577397244,0.02723361198935697
-3.098443559331061,0.16167509928987,0.012697950615695272
-2.939693684278047,-0.981089976570164,-0.002612890112723601
-2.3680097293342235,-1.9700819621011312,-0.017018543136337744
-1.4801489704203037,-2.6665432980302746,-0.02905462307261563
-0.4125394917168501,-2.987728050938683,-0.03781582081674836
0.689561892927147,-2.909716781335257,-0.04303423113217247
1.6921731585526114,-2.4555553549969726,-0.044903020134736134
2.478891158066803,-1.6824547700035049,-0.04378079151999262
2.9512884543624516,-0.677084838307179,-0.03990707110579599
3.0346460691897876,0.44189826985190317,-0.03322724703874733
2.695565090348229,1.5247009344563138,-0.023435290980191682
1.9646412234860842,2.4083418415611555,-0.010310580792019363
0.9442611900441987,2.9528611324652276,0.005778016342141846
-0.21152806317335204,3.07592603359114,0.02355359871121623
-1.3327412703613326,2.765060614241658,0.04092698850385976
-2.2626498413556706,2.069479755011169,0.05538873690199327
-2.8741758752532673,1.0871542217742924,0.06448288339735818
-3.081908975666978,-0.04557861650738526,0.06629040141655292
-2.856017497917007,-1.16739617258247,0.05990011845277076
-2.23291562235642,-2.1157014825806626,0.04572523078554491
-1.311311869555913,-2.7577130172318354,0.025451855009161837
-0.22978100663576062,-3.014952446894695,0.0015790044117102164
0.8635979106360748,-2.869218616765437,-0.023194537044282315
1.834096943793223,-2.3519761949477545,-0.04639106088997904
2.569066934395237,-1.5296199710536322,-0.06582734596914387
2.9780765040826678,-0.49553860843064346,-0.0794456713691929
2.995674878447353,0.6291485647930607,-0.08516035226778838
2.5956649035029695,1.695051881235146,-0.08103302238831785
1.8138488048493184,2.5393484453835433,-0.06595628197282993
0.7596519034470177,3.02247937246493,-0.04056759639783133
-0.4031735315350825,3.0682966842455484,-0.007650171091314786
-1.4984140909788926,2.679125090833138,0.028384945699539352
-2.373107585359515,1.9221935527278027,0.06248653912538699
-2.9135418591104107,0.9078461884650049,0.08979599357307394
-3.0506603315757865,-0.2257156247147467,0.1062251052103747
-2.7665510297494555,-1.3240191817431268,0.10901074475575794
-2.1020053458172407,-2.233685754283978,0.0972999710577822
-1.1554057892694065,-2.8280423249249145,0.07248219052519325
-0.0653805603856994,-3.031386243421889,0.037927778273534545
1.0177848081270269,-2.8287197303456195,-0.0018352567236842032
1.9575686674093613,-2.257882612705667,-0.042042425127281687
2.643477787925037,-1.3937258624252804,-0.07824356498919086
2.992190708003716,-0.3367121602723293,-0.10638461205824579
2.9480755861849257,0.7892887001252099,-0.12271288436704135
2.4934831723041153,1.836311188595255,-0.12398670483668238
1.6695321597862398,2.643872227843897,-0.10835425303169575
0.5902928583723552,3.0737943677369275,-0.07663065292789728
-0.5738170977522085,3.0542197021140756,-0.032888158354941376
-1.6416804071262485,2.599070664543925,0.01643241236033926
-2.4636584065233906,1.7911735926640426,0.0642195392125971
-2.938264288604444,0.752167484937146,0.10398040025300626
